id,role,last affiliation country,first publication year,tools,disciplines
008d99bbcc7bbb72662771902368f8cf,Professor / Associate professor / Assistant professor,Portugal,1991-2000,MS Word | Scrivener,Sciences physiques | Sciences de la vie
0090eec9be9b06bf6c568a57bf8df592,Professor / Associate professor / Assistant professor,Philippines,2011-2016,MS Word | Google Drive/Docs | Scalar,Sciences sociales et économie | Arts et Lettres
00925176ea4d8aca0cbe5529c9cc13d2,Professor / Associate professor / Assistant professor,Germany,before 1991,MS Word | Google Drive/Docs,Sciences sociales et économie
0094df23219a5734ffbae378d93336d2,Professor / Associate professor / Assistant professor,Hungary,1991-2000,MS Word,Sciences sociales et économie
0097e5b06d296abfc66db515e4325bdd,Other,,I haven't published (yet),MS Word,Arts et Lettres
009ae55bf04b573b16c73d92356750f0,Postdoc,Italy,2011-2016,MS Word,Médecine
009daa4dcdecead93f5b9ba0c52c0832,Postdoc,Sweden,1991-2000,MS Word | Google Drive/Docs,Sciences sociales et économie
009e4784696d0c66ef932d03bd2f53ff,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word,Sciences de la vie
009fc548dfbe7b48ef0b206d5c6410ae,Professor / Associate professor / Assistant professor,Switzerland,2011-2016,MS Word | LaTeX,Sciences sociales et économie
00a1160485c2de72bc37e408e9a3bb29,Bachelor/Master student,United States,2011-2016,MS Word | Google Drive/Docs,Ingénierie & technologie
00a3ee9d9434dc4b24c2bb1f7ef8e251,Professor / Associate professor / Assistant professor,Spain,before 1991,MS Word,Sciences physiques
00aacf6f6977967ddd76fb2598f63726,PhD student,Netherlands,I haven't published (yet),MS Word,Médecine
00ac3ce5a1e6cd28a305a4323a0ef4ca,Postdoc,China,2011-2016,MS Word,Sciences physiques
00afb90873aa5513c6ada4cb207d61bc,Professor / Associate professor / Assistant professor,Israel,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
00b0c43519929e184ae791680e4d9652,Professor / Associate professor / Assistant professor,France,2001-2005,MS Word | Google Drive/Docs,Ingénierie & technologie
00b5483dd3b880ee336079d686c5d3fd,Professor / Associate professor / Assistant professor,United States,before 1991,QuarkXPress | Adobe InDesign | Adobe Photoshop | MS Word,Droit | Arts et Lettres
00bffa302666b31da1df693c5e9b35de,Professor / Associate professor / Assistant professor,Luxembourg,2001-2005,MS Word | LaTeX,Sciences sociales et économie
00c0f536565ec8f3c0cfde004fbec74e,Librarian,Norway,2006-2010,MS Word | Google Drive/Docs | LaTeX,Arts et Lettres
00c79bd3d5241a9fe58e07c8f88ba15d,Bachelor/Master student,United Kingdom,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
00cd74ce06a431b078bab17d4b1d02f6,Other,Germany,I haven't published (yet),MS Word,Sciences de la vie
00d23d55bdf72a25825751f7ce8e0b2c,Professor / Associate professor / Assistant professor,United States,I haven't published (yet),MS Word,Sciences de la vie
