id,role,last affiliation country,first publication year,tools,disciplines
5168c4b576e534265976f513f438e9a0,Professor / Associate professor / Assistant professor,Lebanon,2006-2010,MS Word,Médecine | Sciences sociales et économie | Droit
516f63d62c9bb2e12b3ad0c661ad0fe7,Postdoc,Croatia,2001-2005,MS Word,Sciences de la vie
516fa0600277e169b4838e6416f2492e,Professor / Associate professor / Assistant professor,Denmark,1991-2000,MS Word | Google Drive/Docs,Sciences sociales et économie | Arts et Lettres
517210bba65762a039c3fd85040271de,Professor / Associate professor / Assistant professor,Norway,before 1991,MS Word,Sciences de la vie
517d1f8f0ab869763331ea5eab7afc35,Professor / Associate professor / Assistant professor,Malaysia,2001-2005,MS Word,Sciences sociales et économie
517d7b06b6263a74df75ce51a352752a,Professor / Associate professor / Assistant professor,Finland,1991-2000,MS Word | Google Drive/Docs,Ingénierie & technologie
517d7e3e91133536892020e307e21ae1,Professor / Associate professor / Assistant professor,Mexico,2011-2016,MS Word,Ingénierie & technologie | Sciences de la vie
5184968d98c17f698b2206f0dc294788,Professor / Associate professor / Assistant professor,Mexico,1991-2000,MS Word,Droit
5185d8f7d3425044caefb0ba4eb9feda,Professor / Associate professor / Assistant professor,Iran,2006-2010,MS Word,Ingénierie & technologie
5186d729aee5ee3a6fe8fac91c41e9e6,Bachelor/Master student,United Kingdom,I haven't published (yet),MS Word,Arts et Lettres
51890c67505825ee2ebd273d28e547cb,Professor / Associate professor / Assistant professor,India,1991-2000,EndNote | MS Word | Google Drive/Docs,Sciences physiques | Ingénierie & technologie
5189f865234802220353ba0169210c9b,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word,Sciences sociales et économie
518b6d1714220660fea36405141b585c,Bachelor/Master student,Germany,2006-2010,LaTeX,Droit
518c0b68481eb77cb8e02d3dba85c985,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word | Google Drive/Docs,Arts et Lettres
518e4dbaabfb9d0abec44616dd904427,Professor / Associate professor / Assistant professor,Brazil,1991-2000,MS Word | Google Drive/Docs,Sciences sociales et économie
518ea26853307b0824754a06febfb799,Professor / Associate professor / Assistant professor,Canada,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
5194afa52b409c5dc6ef150b8ba6520a,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences physiques
5199f12b7f25380c7fc225cd54f86dc5,PhD student,United States,I haven't published (yet),MS Word | Google Drive/Docs | Scrivener,Sciences sociales et économie | Arts et Lettres
519b56f12807d01432eebbce31d24de3,PhD student,Germany,I haven't published (yet),MS Word | Google Drive/Docs | LaTeX,Sciences sociales et économie
519e668bdc2f864b2f0007c8fdef6c35,Postdoc,Italy,2006-2010,MS Word,Sciences sociales et économie
519f78beff35a4ee8364a3ba763ef4cc,Librarian,India,before 1991,MS Word,Sciences sociales et économie
51a634634d424f183961892bed28940f,Other,United Kingdom,1991-2000,MS Word | Google Drive/Docs,Ingénierie & technologie | Sciences sociales et économie
51b717c6fc35de6d70bde03abea28b5c,Professor / Associate professor / Assistant professor,Thailand,2001-2005,MS Word | Google Drive/Docs,Ingénierie & technologie | Sciences sociales et économie
51b956375f24904423333d4b41af9898,Professor / Associate professor / Assistant professor,Russia,before 1991,MS Excel | MathCAD | MS Word | Scalar,Ingénierie & technologie
51bed0b2bd2bb66018283450fd55be39,Librarian,United States,1991-2000,MS Word | Google Drive/Docs,Arts et Lettres
51c85841a090a30580b1d61c50606a4b,Other,United Kingdom,I haven't published (yet),MS Word | Google Drive/Docs,Médecine
51ca7b745aa23ec065db206b3aaa6e61,Librarian,Sweden,I haven't published (yet),MS Word | Google Drive/Docs,Médecine
51cd0598432431f4a44fb504e8ff58e6,Professor / Associate professor / Assistant professor,United States,2001-2005,MS Word,Médecine
51d0b9f3e9c133d6f5eef124da29b184,Professor / Associate professor / Assistant professor,Romania,2001-2005,MS Word,Ingénierie & technologie
51d112c908819458b895a086373b7aa7,PhD student,Malaysia,2011-2016,MS Word,Sciences sociales et économie
51d25e130645b958dd911d05ed76508b,Professor / Associate professor / Assistant professor,France,2001-2005,MS Word | Google Drive/Docs,Médecine
51d287d9fb4383d9eaa0bce903589fe9,Postdoc,Netherlands,before 1991,MS Word | Scalar,Médecine
51d5bcb5e924c18f6fc3a1d4791f915f,Professor / Associate professor / Assistant professor,Chile,2001-2005,MS Word,Sciences de la vie
51d62c8cff98afac585c1d17c6277067,Professor / Associate professor / Assistant professor,United States,2006-2010,MS Word | Google Drive/Docs | LaTeX | Scrivener,Sciences sociales et économie
51dac9a69eb421397adee64d19a9886b,Professor / Associate professor / Assistant professor,United Kingdom,1991-2000,MS Word,Médecine
51dc0413cd668749350b7e20b9ad1721,Librarian,United States,before 1991,MS Word,Sciences sociales et économie
51e1712661a0bb6abc44f81332b95bb5,Industry / Government,Russia,2001-2005,MS Word | Google Drive/Docs,Sciences sociales et économie
51e1cd94f7ec362098d62217bc0d5938,Professor / Associate professor / Assistant professor,Greece,1991-2000,MS Word,Médecine
51e39cfbab5612c19c256b5e310bfe7d,PhD student,United Kingdom,2011-2016,LibreOffice Writer | MS Word,Sciences sociales et économie
51e6adea2afccfdcf3cd00335be3c8ad,Professor / Associate professor / Assistant professor,Brazil,2006-2010,Google Drive/Docs | LaTeX | Overleaf (=WriteLaTeX),Sciences physiques
51ee31f833b67ba9a2750f616c2e5e18,PhD student,Netherlands,2006-2010,MS Word,Sciences de la vie | Médecine
51f7ea02db89830489d4f74f8554d0fc,Postdoc,Sweden,2001-2005,MS Word | Google Drive/Docs,Sciences sociales et économie
51f96e76dc029bd7cd4baaaf07a76622,Professor / Associate professor / Assistant professor,Netherlands,2001-2005,MS Word,Sciences sociales et économie
51fc08a245e1cd5c79b1906792fdbf98,Professor / Associate professor / Assistant professor,Greece,2001-2005,LibreOffice | MS Word,Sciences physiques
51fc23ac1ed1b046944cd4fd958beaf4,Bachelor/Master student,Germany,I haven't published (yet),LibreOffice,Sciences sociales et économie
520081f348c40c851776cf9dcac17e2b,PhD student,Netherlands,2011-2016,MS Word,Sciences sociales et économie
520a0d5aa4dd003dc0c5114c2354d48d,Professor / Associate professor / Assistant professor,Canada,before 1991,MS Word,Arts et Lettres
520aa9e9bd66608d0647f07156e6f20c,Professor / Associate professor / Assistant professor,Japan,2006-2010,MS Word,Médecine
520cf3db5ff48b7c54fec970cc1fd09d,Other,Venezuela,2001-2005,MS Word,Arts et Lettres
520efd148f22d402266abef9dc9139da,Professor / Associate professor / Assistant professor,United States,2011-2016,Pages | Google Drive/Docs,Sciences sociales et économie
520fa11bdca46cecf637a953af06c278,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word | Google Drive/Docs,Ingénierie & technologie
520fd481ccdbf7d40458775314a4b56c,PhD student,Norway,I haven't published (yet),mobile note app | MS Word | Google Drive/Docs,Droit
521073d0a1881c8dcc76875b2b204bc7,PhD student,United States,I haven't published (yet),MS Word,Sciences sociales et économie | Arts et Lettres
52147260aeb5114d8488072fc9e7ffaa,Professor / Associate professor / Assistant professor,United States,,MS Word,Sciences de la vie | Médecine
52179f1a1fa6870d64585bea7e6b1267,PhD student,Iran,2001-2005,MS Word,Ingénierie & technologie
52186b8ec3e51cf2f913ddbd5fd4afed,Professor / Associate professor / Assistant professor,Spain,2001-2005,MS Word | LaTeX,Ingénierie & technologie
52187893fec53a88034176c187d16d2e,Postdoc,Russia,2006-2010,MS Word,Arts et Lettres
5219907615a6cf59f1977be9f73f7e1e,Other,United Kingdom,before 1991,Visio | MindMaple | Paper | MS Word,Arts et Lettres
5221cc9fd123e95a071b03b2d6e95d38,Librarian,Poland,2006-2010,MS Word,Médecine
522353aa69bf0b3af7417c7d54356773,Professor / Associate professor / Assistant professor,Sweden,before 1991,Pages | MS Word,Sciences sociales et économie
52254a7cbb3aa599c1e659a891740891,Bachelor/Master student,Canada,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
52264bd00fa83ab2f9c1ffe29390bd74,PhD student,Netherlands,2011-2016,MS Word,Sciences sociales et économie
522671eb4ddbad8c0d4f27612196f455,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences de la vie
5229bffa0854c0dab52cf0bec4937f08,Professor / Associate professor / Assistant professor,Russia,2006-2010,MS Word | LaTeX | Scrivener | Scalar,Arts et Lettres
523584dfc5e2bbd9a73b77240422a7d7,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Sciences de la vie | Médecine
523a2b2e247feeb6168812cfc88b3d5d,Other,Netherlands,before 1991,WordPerfect,Arts et Lettres
523b70d1b4fe2cb8411b3f41451dff50,Other,United States,1991-2000,MS Word,Sciences sociales et économie
523ea7bb4aebc1227dd773bb2c60f51f,Librarian,,,MS Word | Google Drive/Docs,Sciences sociales et économie
52418f87f19592e77bdcabddd02c47b1,Librarian,United States,I haven't published (yet),MS Word | Google Drive/Docs,Sciences physiques | Ingénierie & technologie | Sciences de la vie | Médecine | Sciences sociales et économie | Droit | Arts et Lettres
524481710b27d1f57e127752ca0759be,Postdoc,Netherlands,2011-2016,LibreOffice | MS Word | Google Drive/Docs,Ingénierie & technologie | Sciences sociales et économie
52451f8348be09089fbb91b081126780,Professor / Associate professor / Assistant professor,Turkey,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
524688e3dceaf5a286807eed344e1807,Professor / Associate professor / Assistant professor,Slovenia,before 1991,Dropbox,Sciences sociales et économie
52495c28e740ec54be086bfb3f254c23,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences de la vie
524a8b067551e9bb87d35d86b165500c,Professor / Associate professor / Assistant professor,Germany,1991-2000,MS Word,Sciences de la vie
524af4e8a183e19933fea254339ccf38,PhD student,Germany,I haven't published (yet),MS Word | LaTeX,Médecine
525667cc30d8ff59b33d3688d7a162dc,Postdoc,Germany,2006-2010,RStudio | RMarkdown | LyX | LaTeX | MS Word | LaTeX,Sciences de la vie
525704c4dcce174a5cf225a9e1e444a5,PhD student,India,2006-2010,MS Word,Sciences sociales et économie
5258ae34195cd1396f268df0b511c97b,PhD student,India,2011-2016,MS Word | LaTeX,Ingénierie & technologie
525a3fa62b901792dc0f8e577aa0f3dd,Other,Netherlands,I haven't published (yet),MS Word,Médecine | Sciences sociales et économie
5261627cd4723ba93b062b7c3c4943ff,PhD student,United Kingdom,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
5261ee1a20c1b325c669b03da87ec0ea,Bachelor/Master student,Greece,I haven't published (yet),MS Word | Google Drive/Docs,Sciences physiques
5265259930c9e1545d79241cc73ebd97,Other,South Africa,before 1991,MS Excel | MS Word,Sciences sociales et économie | Arts et Lettres
52661bed0a3f9b18beba6983b63a1179,Bachelor/Master student,United States,I haven't published (yet),MS Word | Google Drive/Docs | Scrivener,Sciences sociales et économie
52675368ed27137847cb2289a53916aa,PhD student,United Kingdom,2011-2016,MS Word | Google Drive/Docs,Sciences physiques
52685fe1ac367d039ca8572adb7dcb8e,Professor / Associate professor / Assistant professor,Germany,before 1991,MS Word,Sciences de la vie
526cf19d649f3593c2021639bfdba84f,Professor / Associate professor / Assistant professor,Netherlands,before 1991,MS Word,Arts et Lettres
526d2fbd2b182cf7f541959eda4023b3,PhD student,India,I haven't published (yet),MS Word | Google Drive/Docs,Sciences de la vie
5276b0f11fccf3c02a67caf87aa54bb7,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Sciences de la vie
527b4f8ff78ac12ac9c27e08ebe02251,Bachelor/Master student,France,I haven't published (yet),MS Word,Sciences sociales et économie
528088ecb17af8cd8b308021769d7c01,PhD student,Switzerland,2011-2016,MS Word,Sciences de la vie
52819cb49a79dd3499d8a7453240bb81,Postdoc,United Kingdom,2006-2010,MS Word | Google Drive/Docs | LaTeX | Overleaf (=WriteLaTeX),Sciences physiques
52854c8cb8d80402126bdc6cf820dee6,PhD student,United Kingdom,2011-2016,MS Word,Sciences sociales et économie
52886050c26054d217ddc2163358554c,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Ingénierie & technologie
528e95e401ba45be60681708d23415f1,Bachelor/Master student,Netherlands,2006-2010,MS Word | Google Drive/Docs | Authorea,Médecine
52929550d5dddd9a0d273503e30928a5,Publisher,United Kingdom,2011-2016,MS Word,Médecine
52946d04cbc4214f1d4950a6a458fd9a,Professor / Associate professor / Assistant professor,Russia,before 1991,MS Word,Sciences sociales et économie
5295c7b9f11aafe865db8f81d7bd84da,Professor / Associate professor / Assistant professor,France,2006-2010,LaTeX,Ingénierie & technologie
52979ff1c38d68dce55cde52d29c45ba,Other,France,2006-2010,MS Word | Google Drive/Docs | Scrivener,Arts et Lettres
5298639bb49b9face3589a1a0474f6bc,PhD student,United States,2011-2016,MS Word | Google Drive/Docs,Sciences de la vie | Arts et Lettres
52998bd264eb481dcfdeb7cc3b6907e8,Other,Germany,2006-2010,MS Word | Google Drive/Docs,Arts et Lettres
529cd12c2bf43c331faa514de954e5b4,Librarian,Netherlands,before 1991,MS Word,Médecine
529e15e491862ae10fee5e397d781621,Professor / Associate professor / Assistant professor,France,1991-2000,MS Word,Sciences de la vie
52a7a7d5f24205922432fecc4fe1ab44,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word,Sciences sociales et économie
52af159d5582581ead76f167c6add4ee,Professor / Associate professor / Assistant professor,Colombia,2006-2010,MS Word | Google Drive/Docs,Sciences de la vie | Médecine
52afa2f11ee2f16631f932f0f66563b7,Postdoc,United States,2006-2010,MS Word | Google Drive/Docs | Overleaf (=WriteLaTeX),Sciences de la vie
52b3e6a51f4fdbf5b2aa6c8f31962fb7,Postdoc,Germany,2011-2016,MS Word | LaTeX,Sciences de la vie
52b3ed5b975fec0c0841ebf7a43fe5c5,Postdoc,Italy,1991-2000,MS Word | LaTeX,Sciences sociales et économie
52bc36cad586365f5e740f34bf7886a4,Professor / Associate professor / Assistant professor,France,before 1991,MS Word,Sciences de la vie
52be8813ee9e6cc1f1c9bd91bdb0a469,PhD student,Serbia,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
52c19087fded043272467fe3b5e99aaa,Professor / Associate professor / Assistant professor,Italy,before 1991,MS Word,Médecine
52c640a922229cdfb7677e87326de28e,PhD student,Italy,2011-2016,MS Word,Droit
52cb39d821e1041562946a09aec9090b,Professor / Associate professor / Assistant professor,South Korea,2011-2016,MS Word,Ingénierie & technologie
52cf5e2f62d146de7d9dfa1554c86666,Postdoc,United Kingdom,2011-2016,MS Word | Google Drive/Docs,Sciences physiques | Sciences de la vie
52d55eca1c50ffcb8c097c80ec556d0f,Professor / Associate professor / Assistant professor,Singapore,1991-2000,MS Word | LaTeX,Sciences sociales et économie
52df594524bb101047b2444b4d5ac729,PhD student,Netherlands,2011-2016,MS Word | Google Drive/Docs,Sciences de la vie
52e1f9aad9cbd190bf0e82b009d0644b,Other,United States,before 1991,MS Word,Médecine
52e4a1f20d7244207787656f1ec49a26,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word | LaTeX,Sciences de la vie
52e5797dce15a6d3c12376173977e3cd,Librarian,Peru,I haven't published (yet),MS Word | Google Drive/Docs,Ingénierie & technologie | Sciences sociales et économie | Droit | Arts et Lettres
52e59413c1f8f55c776418afaa808385,Postdoc,Italy,2006-2010,MS Word | LaTeX,Ingénierie & technologie | Sciences sociales et économie
52e59a50580c8ba1c5148e41a1df5210,Other,Japan,I haven't published (yet),MS Word,Arts et Lettres
52e5b8d7cfc42b28c5fb49ad1163ca7c,Librarian,United States,I haven't published (yet),MS Word,Médecine
52ea56e2495005e635f7e96ef44454c0,Professor / Associate professor / Assistant professor,United States,before 1991,LaTeX,Sciences physiques
52eb604b153c9c65e059e879612ab2c9,Professor / Associate professor / Assistant professor,Botswana,2006-2010,MS Word,Sciences sociales et économie
52ee5b5e8b85418450f72406e84d2283,Postdoc,United Kingdom,2011-2016,MS Word | Google Drive/Docs,Sciences de la vie
52f4fcdcda37ab935d344d2a162c119a,Professor / Associate professor / Assistant professor,China,2006-2010,MS Word,Sciences de la vie
52f5d4aa35f318227d5e78febd8bb38b,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Sciences physiques | Sciences de la vie
52f857e0b337a23171a35f91b6cb89e1,Professor / Associate professor / Assistant professor,China,2006-2010,MS Word,Sciences de la vie
52ff20bc3c95c735d47ec263678c1e60,Professor / Associate professor / Assistant professor,Russia,2001-2005,MS Word | Google Drive/Docs,Arts et Lettres
52ff3a9510ef086e3d79c34a6fe192b3,PhD student,Ireland,2011-2016,LaTeX,Ingénierie & technologie
52ffabfedd3f570c774f74d4903b3d3a,Professor / Associate professor / Assistant professor,Spain,before 1991,MS Word,Médecine
5303859093bafd1c0fa362fa59d57e16,Postdoc,Germany,2011-2016,MS Word | LaTeX,Sciences physiques
53053315bcba42192f67f9f1eb8b2e9d,Other,United Kingdom,1991-2000,MS Word,Sciences sociales et économie
530c413d6e5045401a1c37e2a7693fda,PhD student,India,I haven't published (yet),MS Word,Arts et Lettres
530f289d80d390b6940766f8fe9f2a6c,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Médecine
5313b4c4945bfc236216d45c5858081b,PhD student,Norway,I haven't published (yet),LaTeX,Sciences physiques | Ingénierie & technologie | Médecine
53152064761db6a5bd6d7640731e264e,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,MS Word,Sciences de la vie
53154075b07467ae2772c2e603c37fe7,Professor / Associate professor / Assistant professor,Mexico,I haven't published (yet),MS Word | Google Drive/Docs,Arts et Lettres
53174e675fca6debbcf1a63d1aea6faf,Postdoc,Netherlands,2011-2016,MS Word,Sciences de la vie | Médecine
5317d4fa08f09b15e935ce6a942ee8ec,Professor / Associate professor / Assistant professor,Tunisia,2011-2016,MS Word,Sciences sociales et économie
5318857e4f0ca238862e699c7ef30c65,PhD student,Australia,2011-2016,MS Word,Sciences sociales et économie
5319bbc6fabd9a6c2afc7bd5866801f2,Professor / Associate professor / Assistant professor,Switzerland,2001-2005,LaTeX,Ingénierie & technologie
531beeb840af13175a0240e528bf8e12,PhD student,Netherlands,I haven't published (yet),MS Word,Sciences de la vie
531c50e1761df7c9a55b5bb9c20a9855,PhD student,United Kingdom,2011-2016,MS Word | LaTeX,Ingénierie & technologie | Sciences sociales et économie
531eb8b1b137ed984e363d5ad0725afb,PhD student,India,2011-2016,MS Word,Sciences sociales et économie
5329df369719daa87a4ac4834e401f9f,Postdoc,United Kingdom,1991-2000,MS Word | Google Drive/Docs,Médecine
532a73a8c0cbca1c7e42c09c4b4ae617,PhD student,Portugal,2006-2010,MS Word,Sciences sociales et économie
533292e4ea5485cb39bb6cebb69b2c45,Professor / Associate professor / Assistant professor,United States,2006-2010,MS Word,Sciences de la vie
53338603d81f4d963bb08164cf25f2df,Other,United States,2001-2005,MS Word | Google Drive/Docs,Sciences de la vie
5334c37f0b4421e76093b797a57ad893,PhD student,United Kingdom,2011-2016,Evernote | MS Word | Google Drive/Docs | LaTeX,Ingénierie & technologie | Sciences de la vie
5335334521802902b54a59c2523355a0,Professor / Associate professor / Assistant professor,United States,1991-2000,MS Word | Google Drive/Docs,Sciences de la vie | Médecine
534271066b61055ac4c9decda252c4c6,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word,Sciences de la vie
5342db5aac0157ef1501962a035fa961,PhD student,Netherlands,2011-2016,MS Word,Sciences de la vie | Médecine
534a4baae7d226f53d3ce1649b7f571d,Professor / Associate professor / Assistant professor,Argentina,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
534b445bc9660534ddff69a22a29e260,Professor / Associate professor / Assistant professor,Qatar,2006-2010,MS Word | LaTeX | Scrivener,Sciences sociales et économie
534f0bb68d930aec2286fc1a2dcee354,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word | LaTeX,Ingénierie & technologie | Sciences sociales et économie
535019b712724a95dc8153ed38370ee5,Postdoc,Czech Republic,2006-2010,MS Word | Google Drive/Docs,Arts et Lettres
535117640c1670c909054bdb64e54a53,PhD student,Ireland,2006-2010,RMarkdown | MS Word | Google Drive/Docs,Médecine
5352dc56d361db52904e1c037fcd2ec2,Professor / Associate professor / Assistant professor,Nigeria,before 1991,MS Word | LaTeX,Sciences physiques
5352f7d4c8438ba0e7e9e2240fbc122e,PhD student,Switzerland,2011-2016,MS Word | Google Drive/Docs,Sciences de la vie
535346354b9ff14b85aba4c9b7d17823,Professor / Associate professor / Assistant professor,Canada,2001-2005,MS Word | Google Drive/Docs,Médecine
5353eddae47015ae84e3d8ea03de4435,Postdoc,Finland,2006-2010,MS Word | Google Drive/Docs,Sciences de la vie
5355929210c10b66a2f4f074e90bd73d,Professor / Associate professor / Assistant professor,United Kingdom,before 1991,MS Word,Sciences sociales et économie
53578582806c0bc2bd21284399d7aff1,Professor / Associate professor / Assistant professor,Japan,2006-2010,MS Word,Médecine
535e671585d90593bafdf61916d702ec,Professor / Associate professor / Assistant professor,Malaysia,before 1991,MS Word | Google Drive/Docs,Arts et Lettres
535faab1e0633b5aa96034a005a39312,Professor / Associate professor / Assistant professor,France,1991-2000,LaTeX,Sciences physiques
53608d3b4edd315229e83e540acf142c,PhD student,United Kingdom,I haven't published (yet),MS Word,Sciences sociales et économie
5361a08f0fcb69378a263a2bd15d0e5b,Professor / Associate professor / Assistant professor,Spain,2006-2010,MS Word | LaTeX,Sciences sociales et économie
53646f7dcef939d0d19ef8fc31ce5e92,Professor / Associate professor / Assistant professor,Italy,1991-2000,MS Word,Ingénierie & technologie
53670e73560c263af9ef83d350615a2a,Professor / Associate professor / Assistant professor,India,2011-2016,MS Word | LaTeX,Ingénierie & technologie
536b2d09f12846dae9ad835bebca6591,PhD student,Germany,2011-2016,MS Word,Médecine
536c5359da8744116f8e89b54f8e878b,PhD student,Greece,2006-2010,MS Word,Sciences de la vie
53773308eecf8fc2e42f6c79f18181a8,Professor / Associate professor / Assistant professor,Germany,before 1991,MS Word,Sciences de la vie
5377bfca36c394cc9ea5881050a9bb02,Professor / Associate professor / Assistant professor,Netherlands,2001-2005,MS Word,Sciences sociales et économie
537b0713d51aefcbcf26602568764f65,Bachelor/Master student,Germany,I haven't published (yet),LibreOffice,Arts et Lettres
537c059ebdeb1d55ba45d2a2610a6e1c,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word,Sciences sociales et économie
537c0ce745f0ef5c974355583ee2782f,Professor / Associate professor / Assistant professor,Switzerland,2001-2005,LaTeX,Sciences sociales et économie
537c315326540b070e8633d172bc93ba,Postdoc,Germany,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
5380e458bca8e59a93329c7e1a6536e5,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word | Google Drive/Docs,Médecine
53815b5ed0f93ce885f881bd1d70478c,Professor / Associate professor / Assistant professor,Brazil,1991-2000,MS Word,Médecine
538373f73762b8a9435713b0e19b331f,Postdoc,South Africa,2011-2016,MS Word,Sciences de la vie
5389ed7368050c1bf0bd030d1cd37203,Librarian,United Kingdom,I haven't published (yet),MS Word | Google Drive/Docs,Sciences sociales et économie
538b75d08e0a1e0aa5294c540ab9c373,PhD student,France,,MS Word | Google Drive/Docs | LaTeX,Sciences de la vie
538b8147ffd913f07de888c0a53c8df8,Postdoc,Portugal,2006-2010,MS Word | Google Drive/Docs,Sciences de la vie
538d6a1c6087d6290de5d9eb5c92f1b4,Professor / Associate professor / Assistant professor,Iran,2011-2016,MS Word,Sciences de la vie | Médecine
538e3a122886d0888b3d000c58d0d264,Postdoc,United States,2001-2005,MS Word | Google Drive/Docs,Médecine
5391a5d82ae09edfb075fedcf01692ef,Postdoc,China,2011-2016,MS Word,Ingénierie & technologie
5395e35c7ac17d2c3846a5ffd7c63551,Other,Norway,1991-2000,MS Word | LaTeX,Sciences physiques | Ingénierie & technologie | Sciences de la vie | Médecine | Sciences sociales et économie | Arts et Lettres
5396a705aa38c3a4d99264cfab88b5b5,PhD student,Germany,I haven't published (yet),MS Word,Sciences de la vie
539ef4f2d9d420aa15e8386dd1381a00,Postdoc,United Kingdom,1991-2000,MS Word | Google Drive/Docs,Ingénierie & technologie
539efc655e3cab515db93576c645718d,PhD student,Ireland,2011-2016,MS Word,Arts et Lettres
53a0bd30715a1546c9af5f445c2279ab,Bachelor/Master student,France,I haven't published (yet),MS Word | Google Drive/Docs | LaTeX,Sciences physiques
53a43774aef33ecb4119e70033b5e1d3,Bachelor/Master student,Finland,2006-2010,MS Word | Google Drive/Docs | Scrivener,Ingénierie & technologie | Sciences sociales et économie
53a5d92e41a2929f4b2ada99f16bc3cd,Postdoc,Italy,2001-2005,LaTeX,Sciences physiques
53a6099b6e162dc9f7222a582bff897b,Librarian,Ireland,2006-2010,wiki | MS Word,Sciences de la vie | Médecine
53a6ade5192e05215bfbd6d2f29bd3fb,Other,Ireland,before 1991,MS Word,Médecine
53aa20b7b3d4c5f32e822275ebe12e50,Professor / Associate professor / Assistant professor,Uruguay,1991-2000,MS Word,Sciences de la vie
53ad760715aa4e153f3625223081af62,Professor / Associate professor / Assistant professor,United Kingdom,1991-2000,MS Word,Arts et Lettres
53aefde7104033167f798baca72184d7,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word | LaTeX,Sciences physiques
53ba1964c356cafba789d151d1dc0f84,Professor / Associate professor / Assistant professor,Netherlands,2006-2010,MS Word | Google Drive/Docs,Droit
53baa2c35d939097abd3cac3954bec66,Bachelor/Master student,Tanzania,2011-2016,MS Word | Google Drive/Docs,Médecine
53bbfe24a549b67285e62b9c70c576b0,Librarian,United Kingdom,I haven't published (yet),MS Word | Google Drive/Docs,Ingénierie & technologie | Médecine | Sciences sociales et économie | Droit | Arts et Lettres
53bf9fd67ecba86a37665532cd19fb51,Professor / Associate professor / Assistant professor,United States,before 1991,MS Word,Sciences physiques
53c058f30b4417ff289b2f4994167a63,Professor / Associate professor / Assistant professor,South Africa,1991-2000,MS Word,Médecine
53c0ae2d38b9b8d310674ca7403d1055,Professor / Associate professor / Assistant professor,United States,1991-2000,MS Word,Sciences de la vie
53c153d6d1a1920e4484fdb3d658ebaf,PhD student,Spain,2006-2010,MS Word,Ingénierie & technologie
53c592b588c4c731cc15d8f3eb0578fb,Postdoc,Netherlands,2006-2010,MS Word,Sciences de la vie | Médecine
53c8307245c1415174fe0b6a2ef834c7,Librarian,Spain,2001-2005,MS Word,Sciences sociales et économie | Droit | Arts et Lettres
53cbc9dfbd01bce3ef8782ce57f4aba9,Professor / Associate professor / Assistant professor,Netherlands,1991-2000,MS Word | Google Drive/Docs,Sciences de la vie
53cd5c816b4a552f239bb2c72c8a2225,Professor / Associate professor / Assistant professor,South Korea,before 1991,MS Word,Médecine
53cfe75db2552017d9f16fcac5582306,Professor / Associate professor / Assistant professor,Turkey,2011-2016,MS Word,Sciences sociales et économie
53d149ae09b27647ec6aef3a713ad20f,Librarian,Norway,2011-2016,MS Word | Google Drive/Docs | LaTeX,Sciences physiques | Ingénierie & technologie
53d2e15a18c34f35af8811999c9148e0,Other,United States,I haven't published (yet),MS Word | Google Drive/Docs,Médecine
53d3ee7274387abaebc6292eded00117,PhD student,United Kingdom,I haven't published (yet),Overleaf (=WriteLaTeX),Sciences sociales et économie
53d536aec2378356eeef444c121cea4f,Professor / Associate professor / Assistant professor,United States,2011-2016,MS Word,Médecine
53d6483cdd99ec2e6aa334bcf6caf20f,Professor / Associate professor / Assistant professor,United Arab Emirates,2006-2010,MS Word | LaTeX,Sciences sociales et économie
53d7c6e6e7388779c0fa4dcfb5446d7d,Postdoc,Germany,1991-2000,MS Word | LaTeX,Sciences physiques
53dbdb23e0cce99290befade02cd1068,Librarian,Brazil,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
53e6953a36736b6a4f2ba85356f8d3c3,Professor / Associate professor / Assistant professor,China,2011-2016,MS Word,Médecine
